text,label,lang,source
"Reminder: EMI of Rs.3,450 for Loan A/c XXXX2213 is due on 05-Aug-26. Please maintain sufficient balance in HDFC Bank A/c XX9670 to avoid late charges. -HDFCBK",safe,en,research
"Dear Customer, the available balance in your Canara Bank A/c XXX9670 as on 03-08-2026 is INR 12,455.20. -Canara Bank",safe,en,research
"Available balance in your Axis Bank A/c no. XX9670 as on 03-Aug-26 is INR 27,310.55. -Axis Bank",safe,en,research
"Dear Customer, mini statement A/c X9670: 01Aug Cr 45000.00; 02Aug Dr 1200.00; 03Aug Dr 280.00. Avl Bal 43520.00. -SBI",safe,en,research
"Rs.280.00 debited from A/c XX9670 & credited to MAHAKALI PETROLEUM via UPI:658182359589 on 03-08-26. Avbl Bal:Rs.12,455.20. Not you? Call 18001024455 -Bank of Baroda",safe,en,research
"Your A/c XXXX9670 is debited by INR 280.00 on 03-Aug-26. Info: UPI/658182359589/Mahakali Petro. Avl Bal INR 12,455.20. -IDFC FIRST Bank",safe,en,research
"Rs.280.00 debited from Union Bank A/c XX9670 on 03-08-2026 to UPI/658182359589. Avl Bal Rs.12,455.20. If not you SMS BLOCK to 09223008486 -Union Bank of India",safe,en,research
"An amount of INR 280.00 has been DEBITED to your A/c XXX9670 on 03-08-2026 towards UPI/658182359589/MAHAKALI. Total Avail bal INR 12,455.20. -Canara Bank",safe,en,research
"Ac X9670 Debited Rs.280.00 on 03-08-26 UPI/MAHAKALI/658182359589. Avl Bal Rs.12,455.20. Not you? Call 18001802222 -PNB",safe,en,research
"Dear Customer, Rs.350.00 debited from YES BANK A/c no. XXXX9670 on 03-Aug-2026 towards UPI/P2M/658182360088/BigBasket. Avl Bal Rs.11,105.00.",safe,en,research
"Rs.50,000.00 debited from HDFC Bank A/c XX9670 on 03-AUG-26 towards NEFT to SUNITA DEVI A/c XXXX3321. Avl Bal Rs.12,904.12. Not you? Call 18002586161",safe,en,research
"प्रिय ग्राहक, आपके खाता X9670 से 03-08-26 को UPI द्वारा रु.280.00 डेबिट हुए। Refno 658182359589 महाकाली पेट्रोलियम। शेष राशि रु.12,455.20। आपने नहीं किया? कॉल करें 1800111109 -SBI",safe,hi,research
"प्रिय ग्राहक, आपके खाता XXXX9670 में 03-08-26 को UPI द्वारा रु.1,200.00 जमा हुए। शेष राशि रु.9,860.45। UPI Ref 512478930164. -PNB",safe,hi,research
"प्रिय ग्राहक, आपके खाता XX9670 में 31-07-26 को NEFT वेतन द्वारा रु.32,000.00 जमा हुए। उपलब्ध शेष रु.41,904.12। -Bank of Baroda",safe,hi,research
"HDFC बैंक: आपके खाता x9670 से 03-08-26 को ATM से रु.5,000 निकाले गए। शेष राशि रु.18,340.00। आपने नहीं किया तो कॉल करें 18002586161।",safe,hi,research
"यूनियन बैंक: आपके खाता XX9670 से 03-08-2026 को UPI/658182359589 द्वारा रु.499.00 डेबिट हुए। शेष रु.11,900.00। आपने नहीं किया तो BLOCK लिखकर 09223008486 पर भेजें।",safe,hi,research
"प्रिय ग्राहक, आपके खाता XXX9670 से 03-08-2026 को ऋण खाता 2213 की EMI रु.4,500.00 डेबिट हुई। शेष रु.14,200.00। -Canara Bank",safe,hi,research
"कोटक बैंक: आपके डेबिट कार्ड XX9670 से 03-08-26 को DMART पर रु.899.00 खर्च हुए। शेष राशि रु.7,120.40।",safe,hi,research
"एक्सिस बैंक: दिनांक 03-08-26 को आपके खाता XX9670 की उपलब्ध शेष राशि रु.27,310.55 है। -Axis Bank",safe,hi,research
"પ્રિય ગ્રાહક, તમારા ખાતા XX9670 માંથી 03-08-26 ના રોજ UPI/658182359589 મહાકાલી પેટ્રોલિયમ દ્વારા રૂ.280.00 ડેબિટ થયા. બાકી રકમ રૂ.12,455.20. -Bank of Baroda",safe,gu,research
"પ્રિય ગ્રાહક, તમારા ખાતા X9670 માં 03-08-26 ના રોજ UPI થી રૂ.3,000.00 જમા થયા. UPI Ref 519023774851. બાકી રકમ રૂ.15,455.20. -SBI",safe,gu,research
"એક્સિસ બેંક: તમારા ડેબિટ કાર્ડ XX9670 થી 03-08-26 ના રોજ D-MART પર રૂ.1,150.00 ખર્ચ થયા. બાકી રકમ રૂ.9,340.00. તમે નથી કર્યું? કૉલ 18604195555.",safe,gu,research
"પ્રિય ગ્રાહક, તમારા ખાતા XX9670 માં 31-07-26 ના રોજ NEFT પગાર દ્વારા રૂ.28,500.00 જમા થયા. ઉપલબ્ધ બાકી રૂ.36,904.12. -ICICI Bank",safe,gu,research
"બેંક ઓફ બરોડા: તમારા ખાતા XX9670 માંથી 03-08-26 ના રોજ ATM માંથી રૂ.4,000 ઉપાડ્યા. બાકી રકમ રૂ.8,455.20. તમે ન કર્યું હોય તો કૉલ 18001024455.",safe,gu,research
"પ્રિય ગ્રાહક, તમારા HDFC બેંક ખાતા XX9670 માં 03-08-26 ના રોજ mehul@okaxis તરફથી UPI થી રૂ.2,000.00 જમા થયા. UPI Ref 658182360045.",safe,gu,research
